formulas,prototypes
Ag2O2,P-1
Ag2S2,P-1
Ag2Se2,P-1
Ag2Te2,P-1
Au2O2,P-1
Au2S2,P-1
Au2Se2,P-1
Au2Te2,P-1
Co2S2,P-2
Cr2O2,P-3
Cr2S2,P-2
Cr2Se2,P-2
Cu2O2,P-1
Cu2S2,P-1
Cu2Se2,P-1
Cu2Te2,P-2
Fe2S2,P-2
Fe2Se2,P-2
Hf2O2,P-1
Hf2S2,P-1
Hf2S2,P-1
Hf2Se2,P-2
Hf2Te2,P-2
Ir2O2,P-1
Ir2S2,P-2
Ir2Te2,P-2
Mo2O2,P-3
Nb2O2,P-3
Nb2S2,P-2
Nb2Se2,P-2
Nb2Te2,P-2
Ni2O2,P-1
Ni2Se2,P-2
Ni2Te2,P-2
Os2O2,P-3
Os2S2,P-3
Os2Se2,P-3
Pb2Te2,P-1
Pt2O2,P-1
Pt2S2,P-1
Pt2Se2,P-2
Pt2Te2,P-2
Re2O2,P-3
Re2S2,P-3
Rh2O2,P-3
Rh2S2,P-1
Rh2Se2,P-1
Rh2Te2,P-2
Ru2O2,P-3
Ru2S2,P-3
Ru2Se2,P-3
Sc2O2,P-1
Sc2O2,P-1
Sc2S2,P-1
Sc2Se2,P-2
Sc2Se2,P-2
Sc2Te2,P-2
Ta2O2,P-3
Ta2S2,P-2
Ta2Se2,P-2
Ta2Te2,P-2
Ti2O2,P-1
Ti2O2,P-1
Ti2S2,P-2
Ti2Se2,P-2
V2O2,P-3
V2S2,P-2
V2S2,P-2
V2Se2,P-2
V2Se2,P-2
V2Te2,P-2
W2O2,P-1
W2S2,P-1
W2Se2,P-2
W2Te2,P-2
Zr2O2,P-1
Zr2O2,P-1
Zr2S2,P-2
Zr2Se2,P-2
Zr2Te2,P-2
AlN,P-21
GaN,P-21
GeO,P-22
GeS,P-22
GeSe,P-22
GeTe,P-22
HgO,P-21
HgS,P-21
HgSe,P-22
HgTe,P-22
InN,P-21
PbO,P-22
PbS,P-22
PbSe,P-22
PbTe,P-22
SnO,P-22
SnS,P-22
SnSe,P-22
SnTe,P-22
AsBrS,P-5
AsClS,P-5
AsBrSe,P-5
AsClSe,P-5
AsISe,P-5
AsIS,P-5
AsBrTe,P-5
AsClTe,P-5
AsITe,P-5
BiBrS,P-5
BiClS,P-5
BiBrSe,P-5
BiClSe,P-5
BiISe,P-5
BiIS,P-5
BiBrTe,P-5
BiClTe,P-5
BiITe,P-5
BrSSb,P-5
ClSSb,P-5
BrSbSe,P-5
ClSbSe,P-5
ISbSe,P-5
ISSb,P-5
BrSbTe,P-5
ClSbTe,P-5
ISbTe,P-5
WBrI,P-5
WSeTe,P-5
WSSe,P-5
ZrBrCl,P-5
ZrBrI,P-5
ZrSeTe,P-5
ZrSSe,P-5
ZrSTe,P-5
CrBrCl,P-5
CrBrI,P-5
CrClI,P-5
CrSeTe,P-5
CrSSe,P-5
CrSTe,P-5
HfBrCl,P-5
HfBrI,P-5
HfClI,P-5
HfSeTe,P-5
HfSSe,P-5
HfSTe,P-5
MoBrCl,P-5
MoBrI,P-5
MoClI,P-5
MoSeTe,P-5
MoSSe,P-5
MoSTe,P-5
NbBrCl,P-5
NbBrI,P-5
NbClI,P-5
NbSeTe,P-5
NbSSe,P-5
NbSTe,P-5
TaBrCl,P-5
TaBrI,P-5
TaClI,P-5
TaSeTe,P-5
TaSSe,P-5
TaSTe,P-5
TiBrCl,P-5
TiSeTe,P-5
TiSSe,P-5
TiSTe,P-5
VBrCl,P-5
VBrI,P-5
VSeTe,P-5
VSSe,P-5
VSSe,P-5
VSTe,P-5
WBrCl,P-5
WClI,P-5
WSTe,P-5
ZrClI,P-5
Sc2S2,P-4
Sc2S2,P-4
Sc2Se2,P-4
Sc2Se2,P-4
Sc2Te2,P-4
Sc2F2,P-4
Sc2I2,P-4
Ti2S2,P-4
Ti2Se2,P-4
Ti2Te2,P-4
Ti2F2,P-4
Ti2Cl2,P-4
Ti2Br2,P-4
Ti2Br2,P-4
Ti2I2,P-4
V2S2,P-4
V2Se2,P-4
V2Te2,P-4
V2Te2,P-4
V2F2,P-4
V2I2,P-4
V2I2,P-4
Cr2S2,P-4
Cr2Se2,P-4
Cr2Te2,P-4
Cr2F2,P-4
Cr2Cl2,P-4
Cr2Br2,P-4
Cr2I2,P-4
Mn2Br2,P-4
Fe2S2,P-4
Fe2Se2,P-4
Fe2Se2,P-4
Fe2Te2,P-4
Fe2F2,P-4
Fe2Cl2,P-4
Fe2Cl2,P-4
Fe2Br2,P-4
Co2S2,P-4
Co2Se2,P-4
Co2Te2,P-4
Co2F2,P-4
Co2F2,P-4
Co2Cl2,P-4
Co2Br2,P-4
Co2I2,P-4
Ni2S2,P-4
Ni2Se2,P-4
Ni2Te2,P-4
Cu2S2,P-4
Cu2Se2,P-4
Cu2Te2,P-4
Cu2F2,P-4
Cu2Cl2,P-4
Cu2Br2,P-4
Cu2I2,P-4
Zn2S2,P-4
Zn2Se2,P-4
Zn2Te2,P-4
Zn2F2,P-4
Zn2Cl2,P-4
Zn2Br2,P-4
Ga2Te2,P-4
Br2Ge2,P-4
Ge2I2,P-4
Zr2S2,P-4
Zr2Se2,P-4
Zr2Te2,P-4
Zr2F2,P-4
Zr2Cl2,P-4
Zr2Br2,P-4
Nb2S2,P-4
Nb2Se2,P-4
Nb2Te2,P-4
Nb2I2,P-7
Mo2S2,P-4
Mo2Se2,P-4
Mo2Te2,P-4
Mo2F2,P-4
Mo2Cl2,P-4
Mo2Br2,P-4
Ru2S2,P-4
Ru2Se2,P-4
Ru2Te2,P-4
Ru2F2,P-6
Ru2Cl2,P-4
Rh2S2,P-4
Rh2Se2,P-4
Rh2Te2,P-4
Rh2Br2,P-4
Rh2I2,P-4
Pd2S2,P-4
Pd2Se2,P-4
Pd2Te2,P-4
Pd2F2,P-6
Pd2Cl2,P-4
Pd2Br2,P-4
Pd2I2,P-4
Ag2Se2,P-4
Ag2Te2,P-4
Ag2Cl2,P-4
Ag2Br2,P-4
Ag2I2,P-4
Cd2S2,P-4
Cd2Se2,P-4
Cd2Te2,P-4
Cd2F2,P-4
Cd2Cl2,P-4
Cd2Br2,P-4
In2S2,P-4
In2Te2,P-4
In2I2,P-4
Sn2Cl2,P-4
Sn2Br2,P-4
Sn2I2,P-4
S2Sb2,P-4
Sb2Se2,P-4
Sb2Te2,P-4
Cl2Sb2,P-4
Br2Sb2,P-4
I2Sb2,P-7
Hf2S2,P-4
Hf2Se2,P-4
Hf2Te2,P-4
Hf2F2,P-4
Hf2Cl2,P-4
Hf2Br2,P-4
